City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
356,Monte Alegre De Sergipe,BR,-10.0272,-37.5622,87.75,33,89,17.16,overcast clouds
357,Yanliang,CN,34.6592,109.2292,70.79,66,95,6.06,overcast clouds
358,Luena,AO,-11.7833,19.9167,71.78,45,76,3.13,broken clouds
359,Kerouane,GN,9.2667,-9.0167,75.04,87,74,3.91,moderate rain
360,Kabalo,CD,-6.05,26.9167,76.66,67,76,4.65,broken clouds
361,Olafsvik,IS,64.8945,-23.7142,45.68,87,97,26.31,overcast clouds
362,Lusambo,CD,-4.9667,23.45,71.89,76,79,0.49,broken clouds
363,Sungaipenuh,ID,-2.0833,101.3833,64.76,96,88,1.68,overcast clouds
364,Aloleng,PH,16.1307,119.7824,79.34,83,87,8.05,overcast clouds
365,Mancio Lima,BR,-7.6142,-72.8958,73.47,94,100,5.75,overcast clouds
366,Saint-Quentin,FR,49.8333,3.3333,57.29,48,59,11.14,broken clouds
367,Deniliquin,AU,-35.5333,144.9667,47.16,92,51,3.49,broken clouds
368,Matara,LK,5.9485,80.5353,77.77,89,99,13.62,overcast clouds
369,Shunyi,CN,40.125,116.6453,67.95,83,0,2.24,clear sky
370,Urengoy,RU,65.9667,78.3667,28.53,95,84,6.02,broken clouds
371,Havoysund,NO,70.9963,24.6622,43.03,61,3,8.14,clear sky
372,Cayenne,GF,4.9333,-52.3333,91.44,52,20,14.97,few clouds
373,San Quintin,MX,30.4833,-115.95,74.07,74,20,11.45,few clouds
374,Lokoja,NG,7.8024,6.743,77.43,85,77,3.98,broken clouds
375,Villamontes,BO,-21.25,-63.5,78.24,34,75,11.5,broken clouds
376,Meulaboh,ID,4.1363,96.1285,75.97,88,100,6.08,light rain
377,Goderich,CA,43.7501,-81.7165,59.32,63,0,8.05,clear sky
378,Jieshi,CN,22.8134,115.8257,78.78,89,98,7.58,overcast clouds
379,Port Macquarie,AU,-31.4333,152.9167,57.88,85,99,16.02,light rain
380,Margate,GB,51.3813,1.3862,58.89,90,100,7.0,moderate rain
381,Bilibino,RU,68.0546,166.4372,24.93,91,100,2.06,overcast clouds
382,Antofagasta,CL,-23.65,-70.4,60.08,67,4,10.09,clear sky
