City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
447,Orje,NO,50.36,overcast clouds,59.4802,11.6602,PARKING AND TOILET
450,Saint Anthony,US,71.78,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
451,Huarmey,PE,67.14,broken clouds,-10.0681,-78.1522,Hotel Miramar
452,Glendive,US,71.49,broken clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
455,Garden City,US,66.92,clear sky,42.3256,-83.331,Big Trees Mobile Home Community
456,Neuquen,AR,73.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
459,Bonthe,SL,73.53,light rain,7.5264,-12.505,Bonthe Holiday Village
460,Peterhead,GB,55.8,overcast clouds,57.5058,-1.7981,Palace Hotel
462,Yatou,CN,63.48,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
464,Fare,PF,77.4,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
465,Buenos Aires,AR,67.98,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
468,Alofi,NU,62.49,broken clouds,-19.0595,-169.9187,Taloa Heights
470,Nador,MA,73.47,clear sky,35.174,-2.9287,Hôtel La Giralda
471,Amos,CA,60.98,broken clouds,48.5669,-78.1162,Amosphère Resort
476,Camara De Lobos,PT,74.71,broken clouds,32.6333,-16.9667,Golden Residence Hotel
479,Kushiro,JP,60.13,clear sky,42.975,144.3747,Toyoko Inn Kushiro Jujigai
480,Beloha,MG,69.93,clear sky,-25.1667,45.05,
481,Grindavik,IS,53.55,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
484,Kamnik,SI,58.91,moderate rain,46.2259,14.6121,Malograjski Dvor
485,Quang Ngai,VN,76.64,overcast clouds,15.1167,108.8,Central Hotel
491,Makakilo City,US,78.98,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
492,Ucluelet,CA,57.09,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
493,Zhongshu,CN,60.91,overcast clouds,24.5167,103.7667,Xintianlong Hotel
494,Port Hawkesbury,CA,63.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
495,Ngunguru,NZ,60.44,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
497,Madang,PG,75.54,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
498,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
499,Binzhou,CN,68.45,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
500,Chalmette,US,79.05,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
501,Hwange,ZW,79.25,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
502,Mtimbira,TZ,76.57,broken clouds,-8.7833,36.35,
505,Dafeng,CN,74.17,overcast clouds,23.4517,108.5881,Shenglong Hotel
507,Rincon,US,65.86,overcast clouds,32.296,-81.2354,Days Inn Rincon
508,Bouca,CF,72.57,overcast clouds,6.5105,18.2733,
510,Valparaiso,CL,68.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
511,Chingirlau,KZ,57.16,overcast clouds,51.095,54.0814,Хостыл Аққу
512,Camana,PE,65.64,broken clouds,-16.6228,-72.7111,Hostal Morales
513,Matagami,CA,59.11,broken clouds,49.7502,-77.6328,Motel Le Caribou
514,Port Washington,US,64.67,overcast clouds,40.8257,-73.6982,"The Roslyn, Tapestry Collection by Hilton"
515,Kibala,TD,75.65,light rain,9.1104,18.3463,Prasant Hotels
516,Ketchikan,US,56.55,light rain,55.3422,-131.6461,Snow's Cove Lodge
522,Perth,AU,64.67,clear sky,-31.9333,115.8333,Quest on Rheola
523,Muriti,TZ,75.56,broken clouds,-1.9833,32.9167,
524,Southbridge,US,62.37,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
527,Heishan,CN,66.54,clear sky,41.6892,122.1128,Heishan Hotel
530,Huanta,PE,72.0,overcast clouds,-12.9333,-74.25,GRAN HOTEL IMPERIAL
531,Iberia,US,77.97,clear sky,29.9502,-91.7507,back to back rv park
532,Mosquera,CO,62.69,scattered clouds,4.7059,-74.2302,Hotel SJ
533,Tautira,PF,77.22,clear sky,-17.7333,-149.15,Pension Oaoa
